Co_Ref,Prospect_Outcome,Prospect_Renewal_Date,Call_Date,Membership_Renewal_Decision,Serious_Complaint,Other_Complaint,Discussion_on_Price_Increase,Renewal_Impact_Due_to_Price_Increase,Discount_or_Waiver_Requested,Call_Reschedule_Request,Explicit_Competitor_Mention,Explicit_Switching_Intent,Mentioned_Competitors,Desire_To_Cancel,Discount_Offered,Call_Number,call_year,rc_flag
AC8504,Won,2024-06-20,2024-06-05,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Desired to Cancel,No,3.0,2024.0,1
AC9030,Churned,2024-01-07,,,,,,,,,,,,,,,,0
AC9030,Won,2023-01-07,,,,,,,,,,,,,,,,0
AC9074,Churned,2024-09-26,,,,,,,,,,,,,,,,0
AC9264,Won,2025-08-17,,,,,,,,,,,,,,,,0
AC9264,Won,2024-08-17,,,,,,,,,,,,,,,,0
AC9264,Won,2023-08-17,,,,,,,,,,,,,,,,0
AC9302,Churned,2025-06-06,2025-05-12,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AC9367,Won,2025-10-20,,,,,,,,,,,,,,,,0
AC9367,Won,2024-10-20,,,,,,,,,,,,,,,,0
AC9367,Won,2023-10-20,,,,,,,,,,,,,,,,0
AC9436,Won,2025-11-21,,,,,,,,,,,,,,,,0
AC9436,Won,2024-11-21,,,,,,,,,,,,,,,,0
AC9436,Won,2023-11-21,,,,,,,,,,,,,,,,0
AC9742,Won,2025-01-07,2024-12-11,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2024.0,1
AC9742,Won,2026-01-07,2025-12-11,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AC9850,Churned,2024-04-25,,,,,,,,,,,,,,,,0
AC9850,Won,2023-04-25,,,,,,,,,,,,,,,,0
AD0114,Won,2025-03-21,2025-03-07,No,unknown,unknown,No,No,No,No,No,No,No,Renewed,No,3.0,2025.0,1
AD0243,Won,2026-01-09,2025-12-16,No,No,No,No,No,No,No,No,No,No,Renewed,No,5.0,2025.0,1
AD0668,Won,2025-05-09,2025-04-25,No,No,No,No,No,No,No,No,No,Yes,Renewed,No,3.0,2025.0,1
AD0699,Churned,2023-08-18,,,,,,,,,,,,,,,,0
AD0761,Won,2025-04-19,2025-03-26,Yes,unknown,unknown,Yes,Yes,No,No,No,No,No,Desired to Cancel,No,1.0,2025.0,1
AD0880,Won,2025-12-15,,,,,,,,,,,,,,,,0
AD0880,Won,2024-12-15,,,,,,,,,,,,,,,,0
AD0880,Won,2023-12-15,,,,,,,,,,,,,,,,0
AD0922,Won,2025-08-20,,,,,,,,,,,,,,,,0
AD1072,Won,2024-11-29,2024-11-04,No,No,No,No,No,No,No,No,No,Yes,Renewed,No,1.0,2024.0,1
AD1356,Won,2024-05-03,2024-04-08,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AD1563,Churned,2025-03-14,,,,,,,,,,,,,,,,0
AD1655,Won,2025-04-27,2025-03-31,No,unknown,unknown,No,No,No,No,No,No,No,Renewed,No,4.0,2025.0,1
AD1657,Won,2026-02-18,2026-01-30,No,No,Yes,No,No,No,No,No,No,No,Not Discussed,No,164.0,2026.0,1
AD1681,Won,2025-05-17,2025-04-22,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AD1830,Won,2024-12-05,2024-11-12,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2024.0,1
AD2140,Won,2024-06-06,2024-05-10,No,No,No,No,No,No,Yes,No,No,No,Not Discussed,No,4.0,2024.0,1
AD2140,Won,2025-06-06,2025-05-15,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,5.0,2025.0,1
AD2220,Won,2025-09-26,2025-09-01,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,3.0,2025.0,1
AD3239,Won,2025-03-21,2025-03-07,No,unknown,unknown,Yes,No,No,No,No,No,No,Desired to Cancel,No,17.0,2025.0,1
AD3246,Won,2025-02-06,2025-01-13,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
